lemme,cgram,gender,freqlivres_total,french_formatted,english
de,PRE,,38928.92,de,of
la,ART:def,,24877.3,la,the
être,VER,,21709.87,être,be
et,CON,,20879.73,et,And
le,ART:def,,20735.14,le,the
avoir,AUX,,19230.64,avoir,to have
à,PRE,,19209.05,à,has
les,ART:def,,16074.53,les,THE
il,PRO:per,,15832.16,il,The
l',ART:def,,15734.74,l',l'
un,ART:ind,,13946.36,un,and
ne,ADV,,13852.97,ne,is
d',PRE,,11876.35,d',d'
en,PRE,,11402.97,en,in
je,PRO:per,,10862.77,je,is
des,ART:ind,,10624.93,des,of the
une,ART:ind,,9830.81,une,a
pas,ADV,,9129.33,pas,not
dans,PRE,,8296.08,dans,In
qui,PRO:rel,,7923.25,qui,Who
elle,PRO:per,,6991.49,elle,She
du,ART:def,,6882.16,du,of
se,PRO:per,,6587.77,se,with
pour,PRE,,6214.19,pour,For
s',PRO:per,,5929.73,s',s'
tout,ADV,,5929.59,tout,All
ce,PRO:dem,,5395.13,ce,This
sur,PRE,,5336.6900000000005,sur,on
faire,VER,,5328.99,faire,TO DO
au,ART:def,,5322.5,au,At
plus,ADV,,5034.87,plus,plus
dire,VER,,4863.93,dire,say
on,PRO:per,,4838.38,on,on
son,ADJ:pos,,4763.98,son,son
mais,CON,,4465.27,mais,more
me,PRO:per,,4264.32,me,me
lui,PRO:per,,4225.14,lui,his
avec,PRE,,4000.41,avec,with
nous,PRO:per,,3867.84,nous,We
comme,CON,,3795.0,comme,as
par,PRE,,3739.25,par,about
sa,ADJ:pos,,3732.43,sa,on
vous,PRO:per,,3507.16,vous,YOU
que,PRO:rel,,3315.9500000000003,que,what
y,PRO:per,,3113.38,y,and
ses,ADJ:pos,,3105.41,ses,his
aller,VER,,2863.71,aller,go
ils,PRO:per,,2809.53,ils,they
pouvoir,VER,,2767.66,pouvoir,power
bien,ADV,,2641.89,bien,GOOD
tu,PRO:per,,2543.8500000000004,tu,there
ça,PRO:dem,,2483.65,ça,That
ou,CON,,2429.86,ou,or
voir,VER,,2401.76,voir,see
cette,ADJ:dem,,2320.68,cette,this
mon,ADJ:pos,,2307.97,mon,My
sans,PRE,,2224.12,sans,without
même,ADV,,2219.19,même,even
où,PRO:rel,,2068.11,où,Or
savoir,VER,,2045.01,savoir,know
aux,ART:def,,1907.57,aux,to
moi,PRO:per,,1880.95,moi,me
si,CON,,1859.12,si,and
petit,ADJ,,1737.03,petit,little
ma,ADJ:pos,,1667.16,ma,and
vouloir,VER,,1642.73,vouloir,to want
peu,NOM,m,1586.96,le peu,the little
encore,ADV,,1579.05,encore,Again
deux,ADJ:num,,1557.91,deux,two
ces,ADJ:dem,,1547.5,ces,these
rien,PRO:ind,,1547.1,rien,Nothing
autre,ADJ,,1541.23,autre,other
venir,VER,,1514.53,venir,come
quand,CON,,1480.75,quand,When
prendre,VER,,1466.44,prendre,take
homme,NOM,m,1398.85,le homme,the man
grand,ADJ,,1378.1,grand,grand
devoir,VER,,1373.74,devoir,duty
aussi,ADV,,1359.86,aussi,Also
jour,NOM,m,1341.76,le jour,the day
temps,NOM,m,1289.39,le temps,the time
falloir,VER,,1250.41,falloir,to need
oeil,NOM,m,1234.6,le oeil,the eye
main,NOM,f,1229.4,la main,the hand
passer,VER,,1165.27,passer,fits
fois,NOM,f,1140.0,la fois,the time
non,ADV,,1139.19,non,non
jamais,ADV,,1122.97,jamais,Never
très,ADV,,1120.81,très,very
puis,CON,,1109.19,puis,Then
parler,VER,,1095.08,parler,talk
là,ADV,,1093.92,là,To be
toujours,ADV,,1093.78,toujours,always
mettre,VER,,1083.7,mettre,put
chose,NOM,f,1057.63,la chose,the thing
alors,ADV,,1033.78,alors,SO
sous,PRE,,1032.7,sous,below
mes,ADJ:pos,,1023.11,mes,we
bon,ADJ,,1016.01,bon,good
vers,PRE,,999.19,vers,towards
regarder,VER,,997.9,regarder,look
femme,NOM,f,995.74,la femme,the woman
seul,ADJ,,990.34,seul,alone
demander,VER,,984.48,demander,ask
trouver,VER,,972.5,trouver,find
dont,PRO:rel,,960.34,dont,of which
après,PRE,,958.78,après,After
suivre,VER,,949.13,suivre,follow
croire,VER,,947.25,croire,believe
heure,NOM,f,924.05,la heure,the time
tête,NOM,f,923.45,la tête,the head
leurs,ADJ:pos,,896.0799999999999,leurs,their
donner,VER,,896.03,donner,give
penser,VER,,869.8,penser,think
vie,NOM,f,853.3100000000001,la vie,the life
laisser,VER,,851.56,laisser,to leave 
premier,ADJ,,846.49,premier,premier
coup,NOM,m,837.6999999999999,le coup,the blow
entre,PRE,,833.99,entre,between
aimer,VER,,795.62,aimer,to like
rester,VER,,793.75,rester,stay
trop,ADV,,790.0,trop,too much
devant,PRE,,782.64,devant,in front
t',PRO:per,,779.93,t',t'
te,PRO:per,,774.32,te,the
mère,NOM,f,761.2800000000001,la mère,the mother
cela,PRO:dem,,741.82,cela,that
monde,NOM,m,741.3499999999999,le monde,the world
tenir,VER,,741.22,tenir,to have
nuit,NOM,f,738.24,la nuit,the night
avant,PRE,,737.84,avant,Before
moins,ADV,,735.2099999999999,moins,less
quelques,ADJ:ind,,732.57,quelques,a few
enfant,NOM,m,725.6800000000001,le enfant,the child
père,NOM,m,723.52,le père,the father
arriver,VER,,723.07,arriver,arrive
entendre,VER,,719.17,entendre,hear
sentir,VER,,718.79,sentir,to feel
attendre,VER,,706.66,attendre,to wait for
déjà,ADV,,705.54,déjà,already
vieux,ADJ,,698.71,vieux,old (masculine)
peut-être,ADV,,697.97,peut-être,maybe
air,NOM,m,690.81,le air,the air
moment,NOM,m,688.24,le moment,the moment
an,NOM,m,685.81,le an,with the
notre,ADJ:pos,,680.68,notre,OUR
chez,PRE,,680.54,chez,at the house of
beau,ADJ,,674.6,beau,beau
quelque,ADJ:ind,,669.26,quelque,some
ni,CON,,662.36,ni,in
trois,ADJ:num,,660.34,trois,three
depuis,PRE,,656.6899999999999,depuis,Since
sortir,VER,,638.1899999999999,sortir,to go out
oui,ADV,,637.57,oui,Yes
connaître,VER,,629.26,connaître,to know
porte,NOM,f,617.4300000000001,la porte,the door
jeune,ADJ,,617.1,jeune,young
long,NOM,m,616.9499999999999,le long,the long
comprendre,VER,,614.79,comprendre,to understand
voix,NOM,f,612.7,la voix,the voice
elles,PRO:per,,605.14,elles,they
noir,ADJ,,599.12,noir,noir
contre,PRE,,596.9599999999999,contre,against
quoi,PRO:rel,,592.5699999999999,quoi,What
fille,NOM,f,592.23,la fille,the daughter
nos,ADJ:pos,,579.19,nos,us
maison,NOM,f,575.33,la maison,the house
sembler,VER,,572.84,sembler,seem
côté,NOM,m,566.48,le côté,the side
mort,NOM,f,565.88,la mort,death
visage,NOM,m,565.0,le visage,the face
rue,NOM,f,562.98,la rue,the street
soir,NOM,m,562.64,le soir,The evening
mal,ADV,,554.81,mal,just
mot,NOM,m,553.78,le mot,the word
devenir,VER,,536.37,devenir,become
personne,PRO:ind,,521.96,personne,person
eux,PRO:per,,504.26,eux,them
blanc,ADJ,,502.92,blanc,blanc
cet,ADJ:dem,,497.5,cet,this
maintenant,ADV,,496.76,maintenant,NOW
ouvrir,VER,,492.51,ouvrir,open
revenir,VER,,490.56,revenir,to come back
dernier,ADJ,,489.19,dernier,last
car,CON,,489.19,car,car
bras,NOM,m,487.97,le bras,the arm
pied,NOM,m,486.42,le pied,the foot
pourquoi,CON,,486.36,pourquoi,Why
chaque,ADJ:ind,,486.35,chaque,each
partir,VER,,485.69,partir,leave
ici,ADV,,483.65,ici,here
corps,NOM,m,480.34,le corps,the body
sourire,NOM,m,478.26,le sourire,the smile
nouveau,NOM,m,478.04,le nouveau,the new
porter,VER,,477.3,porter,porter
rire,VER,,476.03,rire,laugh
vivre,VER,,470.72,vivre,live
ainsi,ADV,,469.46,ainsi,Thus
place,NOM,f,468.58,la place,the square
rendre,VER,,468.11,rendre,give back
vrai,ADJ,,467.84,vrai,TRUE
répondre,VER,,466.79,répondre,answer
presque,ADV,,465.54,presque,almost
appeler,VER,,465.33,appeler,to call
pendant,PRE,,464.39,pendant,during
français,ADJ,,463.46,français,French
arrêter,VER,,462.5,arrêter,Stop
beaucoup,ADV,,461.42,beaucoup,a lot
eau,NOM,f,459.87,la eau,the water
ton,ADJ:pos,,456.83,ton,ton
terre,NOM,f,452.91,la terre,the earth
loin,ADV,,452.36,loin,far
toi,PRO:per,,450.34,toi,You
lever,VER,,449.88,lever,lever
derrière,PRE,,449.19,derrière,behind
chercher,VER,,449.0,chercher,seek
paraître,VER,,448.13,paraître,to seem/appear
donc,CON,,445.88,donc,SO
près,PRE,,442.37,près,close
tomber,VER,,441.41,tomber,to fall
enfin,ADV,,440.27,enfin,Finally
plein,ADJ,,437.37,plein,full
mieux,ADV,,437.37,mieux,better
tant,ADV,,436.42,tant,so much
votre,ADJ:pos,,427.91,votre,your
leur,PRO:per,,427.5,leur,their
regard,NOM,m,423.17,le regard,the look
commencer,VER,,421.9,commencer,to start
comment,CON,,421.22,comment,comment
assez,ADV,,420.14,assez,enough
finir,VER,,418.0,finir,finish
retrouver,VER,,416.22,retrouver,find
fin,NOM,f,414.13,la fin,the end
chambre,NOM,f,413.31,la chambre,the room
sûr,ADJ,,412.97,sûr,on
souvenir,NOM,m,412.48,le souvenir,the memory
haut,NOM,m,412.09,le haut,the top
gens,NOM,m,409.39,le gens,the people
poser,VER,,409.09,poser,to set down
fait,NOM,m,407.3,le fait,the fact
monter,VER,,404.61,monter,to go up
amour,NOM,m,403.92,le amour,love
coeur,NOM,m,400.75,le coeur,the heart
peine,NOM,f,399.52,la peine,the pain
entrer,VER,,398.4,entrer,enter
bout,NOM,m,398.11,le bout,the end
seulement,ADV,,397.97,seulement,only
point,NOM,m,397.97,le point,the point
matin,NOM,m,396.75,le matin,The morning
dieu,NOM,m,396.48,le dieu,the god
asseoir,VER,,395.33,asseoir,sit down
nom,NOM,m,395.0,le nom,the name
mourir,VER,,391.1,mourir,die
gros,ADJ,,391.01,gros,fat
tirer,VER,,383.23,tirer,to pull
ami,NOM,m,380.08,le ami,the friend
table,NOM,f,379.8,la table,the table
perdre,VER,,377.36,perdre,lose
tourner,VER,,377.11,tourner,turn
fond,NOM,m,376.15,le fond,the bottom
pourtant,ADV,,375.68,pourtant,Yet
année,NOM,f,375.54,la année,the year
autres,PRO:ind,,375.28,autres,others
fort,ADV,,365.75,fort,fort
autour,ADV,,363.58,autour,around
tard,ADV,,362.64,tard,late
histoire,NOM,f,359.53000000000003,la histoire,the story
droit,NOM,m,359.0,le droit,the right
instant,NOM,m,358.98,le instant,the moment
guerre,NOM,f,354.6,la guerre,the war
ville,NOM,f,352.97,la ville,the city
vite,ADV,,351.89,vite,quickly
doute,NOM,m,350.07000000000005,le doute,doubt
force,NOM,f,349.59,la force,the force
ailleurs,ADV,,346.35,ailleurs,elsewhere
écrire,VER,,341.82,écrire,to write
rouge,ADJ,,341.62,rouge,rouge
reprendre,VER,,340.15000000000003,reprendre,to resume
jeter,VER,,338.48,jeter,to throw (away)
lit,NOM,m,338.17,le lit,the bed
bas,NOM,m,337.29,le bas,the downstairs
jouer,VER,,337.24,jouer,play
longtemps,ADV,,335.54,longtemps,a long time
lire,VER,,335.05,lire,read
soleil,NOM,m,334.39,le soleil,the sun
général,NOM,m,332.3,le général,the general
voilà,PRE,,329.12,voilà,There
question,NOM,f,328.45,la question,the question
idée,NOM,f,328.44,la idée,the idea
parce que,CON,,327.7,parce que,because
marcher,VER,,325.62,marcher,to walk
silence,NOM,m,325.54,le silence,the silence
monsieur,NOM,m,324.87,le monsieur,the gentleman
est-ce que,ADV,,322.23,est-ce que,is it that
part,NOM,f,320.41,la part,the share
celui,PRO:dem,,319.19,celui,the one
quitter,VER,,318.72,quitter,to leave
mur,NOM,m,317.77,le mur,the wall
écouter,VER,,314.08,écouter,listen
peur,NOM,f,311.69,la peur,fear
ceux,PRO:dem,,309.86,ceux,those
raison,NOM,f,308.78,la raison,the reason
tour,NOM,f,308.72,la tour,the tower
sorte,NOM,f,307.16,la sorte,the kind
ciel,NOM,m,305.21,le ciel,the sky
mois,NOM,m,304.86,le mois,the month
descendre,VER,,301.65,descendre,to come down
celle,PRO:dem,,299.46,celle,that
bois,NOM,m,299.46,le bois,the wood
ah,ONO,,297.16,ah,ah
essayer,VER,,296.7,essayer,to try
surtout,ADV,,294.33,surtout,Above all
retourner,VER,,290.87,retourner,return
pousser,VER,,288.96,pousser,push
épaule,NOM,f,288.72,la épaule,the shoulder
train,NOM,m,288.64,le train,the train
route,NOM,f,288.04,la route,the road
parfois,ADV,,287.36,parfois,sometimes
oublier,VER,,286.97,oublier,forget
souvent,ADV,,286.96,souvent,often
apprendre,VER,,286.7,apprendre,learn
livre,NOM,m,286.49,le livre,the book
servir,VER,,286.24,servir,serve
juste,ADJ,,285.27,juste,fair
tendre,VER,,284.76,tendre,tender
manger,VER,,284.67,manger,eat
bouche,NOM,f,283.45,la bouche,the mouth
voiture,NOM,f,283.11,la voiture,the car
continuer,VER,,282.79,continuer,continue
quatre,ADJ:num,,282.64,quatre,four
bruit,NOM,m,281.49,le bruit,the noise
plutôt,ADV,,280.74,plutôt,instead
fenêtre,NOM,f,280.2,la fenêtre,the window
rentrer,VER,,279.93,rentrer,to return
façon,NOM,f,277.3,la façon,the way
montrer,VER,,276.58,montrer,to show
boire,VER,,276.36,boire,drink
pièce,NOM,f,276.35,la pièce,the play (in theatre)
suite,NOM,f,275.81,la suite,the sequel
dès,PRE,,275.07,dès,of the
famille,NOM,f,274.39,la famille,the family
vraiment,ADV,,274.32,vraiment,Really
lumière,NOM,f,274.26,la lumière,the light
soudain,ADV,,272.57,soudain,suddenly
geste,NOM,m,271.08,le geste,the gesture
face,NOM,f,270.88000000000005,la face,to do it
cheveu,NOM,m,270.68,le cheveu,the hair
lieu,NOM,m,267.57,le lieu,the place
besoin,NOM,m,266.62,le besoin,the need
quel,ADJ:int,,265.34,quel,that
bleu,ADJ,,263.85,bleu,blue
travail,NOM,m,263.45,le travail,the work
courir,VER,,263.42,courir,run
garçon,NOM,m,262.5,le garçon,the boy
raconter,VER,,261.9,raconter,tell
dormir,VER,,259.09,dormir,sleep
envie,NOM,f,258.1,la envie,the desire
mer,NOM,f,257.56,la mer,the sea
garder,VER,,257.51,garder,keep
milieu,NOM,m,256.28,le milieu,the middle
doigt,NOM,m,256.15,le doigt,the finger
lettre,NOM,f,256.02,la lettre,the letter
affaire,NOM,f,253.38,la affaire,the case
feu,NOM,m,252.57,le feu,the fire
ta,ADJ:pos,,251.69,ta,facing
travers,NOM,m,247.64,le travers,the cross
fils,NOM,m,247.64,le fils,the son
changer,VER,,246.49,changer,changer
quelle,ADJ:int,,244.39,quelle,those
pays,NOM,m,241.55,le pays,the country
imaginer,VER,,241.18,imaginer,imagine
pauvre,ADJ,,241.01,pauvre,poor
autant,ADV,,240.41,autant,as much
crier,VER,,239.74,crier,crier
tous,PRO:ind,,238.72,tous,all
froid,ADJ,,237.76,froid,cold
ordre,NOM,m,235.34,le ordre,the order
aucun,ADJ:ind,,234.13,aucun,none
expliquer,VER,,233.9,expliquer,explain
plaisir,NOM,m,233.85,le plaisir,the pleasure
ombre,NOM,f,233.45,la ombre,the shadow
apercevoir,VER,,233.12,apercevoir,to notice
chemin,NOM,m,231.42,le chemin,the path
verre,NOM,m,230.06,le verre,the glass
glisser,VER,,229.33,glisser,slide
reconnaître,VER,,229.23,reconnaître,recognize
bord,NOM,m,228.1,le bord,the edge
vide,ADJ,,226.35,vide,empty
possible,ADJ,,224.79,possible,possible
ajouter,VER,,224.72,ajouter,add
recevoir,VER,,224.47,recevoir,receive
gauche,NOM,f,224.18,la gauche,the left
propre,ADJ,,222.57,propre,clean
lèvre,NOM,f,222.02,la lèvre,the lip
présent,NOM,m,221.75,le présent,the present
jambe,NOM,f,220.94,la jambe,the leg
cinq,ADJ:num,,220.61,cinq,five
vent,NOM,m,220.28,le vent,the wind
fou,ADJ,,220.12,fou,new
occuper,VER,,219.81,occuper,occupy
agir,VER,,219.75,agir,act
plusieurs,ADJ:ind,,218.44,plusieurs,several
état,NOM,m,218.18,le état,the state
sens,NOM,m,217.5,le sens,the meaning
âge,NOM,m,217.43,le âge,the age
cas,NOM,m,217.36,le cas,the case
frère,NOM,m,216.35,le frère,the brother
esprit,NOM,m,216.29,le esprit,the spirit
salle,NOM,f,215.82,la salle,the room
décider,VER,,214.21,décider,decide
offrir,VER,,214.0,offrir,to offer
dos,NOM,m,213.99,le dos,the back
partie,NOM,f,211.48,la partie,the part
dix,ADJ:num,,209.86,dix,ten
l'un,PRO:ind,,208.92,l'un,mon
arbre,NOM,m,208.58,le arbre,the tree
ensemble,ADV,,208.52,ensemble,together
compte,NOM,m,208.38,le compte,the account
serrer,VER,,207.52,serrer,to squeeze
mauvais,ADJ,,207.44,mauvais,bad
sang,NOM,m,207.29,le sang,and high
lorsque,CON,,207.16,lorsque,when
d'autres,ADJ:ind,,206.28,d'autres,others
chef,NOM,m,205.95,le chef,the chief
coucher,VER,,205.16,coucher,to sleep
compter,VER,,203.73,compter,count
madame,NOM,f,203.45,la madame,the lady
papier,NOM,m,203.1,le papier,the paper
or,NOM,m,202.84,le or,le or
travailler,VER,,202.72,travailler,to work
remettre,VER,,202.53,remettre,to put back
lui-même,PRO:per,,202.3,lui-même,himself
rappeler,VER,,202.27,rappeler,remind
minute,NOM,f,201.42,la minute,in minutes
aucune,ADJ:ind,,200.95,aucune,none
traverser,VER,,200.84,traverser,to cross
argent,NOM,m,200.61,le argent,the money
toucher,VER,,200.41,toucher,to touch
répéter,VER,,200.13,répéter,repeat
toute,ADJ:ind,,199.46,toute,all
coin,NOM,m,199.25,le coin,the corner
couleur,NOM,f,198.72,la couleur,the color
découvrir,VER,,198.2,découvrir,discover
journal,NOM,m,197.7,le journal,the newspaper
manquer,VER,,197.63,manquer,miss
semaine,NOM,f,197.5,la semaine,the week
cause,NOM,f,197.3,la cause,the cause
fermer,VER,,197.19,fermer,close
oh,ONO,,197.09,oh,oh
approcher,VER,,196.15,approcher,approach
heureux,ADJ,,195.68,heureux,happy
odeur,NOM,f,195.67,la odeur,the smell
avancer,VER,,194.99,avancer,move forward
oreille,NOM,f,194.13,la oreille,the ear
café,NOM,m,192.76,le café,coffee
effet,NOM,m,192.37,le effet,the effect
malgré,PRE,,191.55,malgré,despite
nu,ADJ,,191.28,nu,not
aussitôt,ADV,,189.93,aussitôt,right away
pierre,NOM,f,189.86,la pierre,the stone
image,NOM,f,188.92,la image,the image
rencontrer,VER,,188.54,rencontrer,meet
chacun,PRO:ind,,187.84,chacun,each
peau,NOM,f,187.77,la peau,the skin
intérieur,NOM,m,186.48,le intérieur,the interior
jardin,NOM,m,185.81,le jardin,the garden
laquelle,PRO:rel,,185.27,laquelle,which
chien,NOM,m,184.6,le chien,the dog
ancien,ADJ,,184.53,ancien,ancient
permettre,VER,,184.2,permettre,allow
type,NOM,m,184.19,le type,the guy
disparaître,VER,,183.32,disparaître,disappear
mouvement,NOM,m,182.98,le mouvement,the movement
certain,ADJ,,182.64,certain,certain
battre,VER,,182.38,battre,beat
cacher,VER,,181.89,cacher,hide
gagner,VER,,180.92,gagner,earn
gris,ADJ,,180.6,gris,gray
vos,ADJ:pos,,180.27,vos,your
lourd,ADJ,,179.86,lourd,heavy
vert,ADJ,,179.8,vert,Green
journée,NOM,f,179.39,la journée,the day
partout,ADV,,179.39,partout,everywhere
cheval,NOM,m,179.26,le cheval,the horse
secret,NOM,m,179.11,le secret,the secret
foutre,VER,,178.74,foutre,fuck
parole,NOM,f,178.31,la parole,the words
allemand,NOM,m,178.11,le allemand,the german
cesser,VER,,177.77,cesser,cease
envoyer,VER,,177.65,envoyer,send
nez,NOM,m,177.64,le nez,the nose
cours,NOM,m,176.76,le cours,the course
forme,NOM,f,176.69,la forme,the shape
eh,ONO,,176.62,eh,eh
au-dessus,ADV,,176.42,au-dessus,above
valoir,VER,,175.76,valoir,to be worth
revoir,VER,,175.48,revoir,to see again
sac,NOM,m,174.25,le sac,the bag
chaud,ADJ,,174.13,chaud,hot
jeu,NOM,m,173.32,le jeu,the game
importer,VER,,173.13000000000002,importer,importer
mille,ADJ:num,,172.77,mille,whose
passé,NOM,m,172.51,le passé,the past
nouvelle,ADJ,,172.5,nouvelle,new
parmi,PRE,,171.96,parmi,among
empêcher,VER,,171.29,empêcher,to prevent
tuer,VER,,171.17000000000002,tuer,kill
clair,ADJ,,170.81,clair,clair
bientôt,ADV,,169.59,bientôt,Soon
pareil,ADJ,,169.32,pareil,alike
d'abord,ADV,,169.32,d'abord,First of all
ensuite,ADV,,169.19,ensuite,Next
reste,NOM,m,168.59,le reste,the rest
tellement,ADV,,168.51,tellement,such
frapper,VER,,168.36,frapper,hit
libre,ADJ,,167.91,libre,free
maître,NOM,m,167.56,le maître,the master
lancer,VER,,167.14,lancer,throw
cher,ADJ,,166.29,cher,Dear
fleur,NOM,f,164.39,la fleur,the flower
dur,ADJ,,164.19,dur,dur
rouler,VER,,163.47,rouler,to roll
pleurer,VER,,163.36,pleurer,cry
bonheur,NOM,m,162.36,le bonheur,happiness
ligne,NOM,f,162.29000000000002,la ligne,the line
installer,VER,,162.26,installer,installer
signe,NOM,m,161.28,le signe,the sign
soeur,NOM,f,161.01,la soeur,the sister
remonter,VER,,160.15,remonter,go back up
simple,ADJ,,159.73000000000002,simple,simple
suffire,VER,,159.39,suffire,suffice
apporter,VER,,159.33,apporter,bring
apparaître,VER,,159.27,apparaître,appear
bête,NOM,f,159.26,la bête,the beast
front,NOM,m,159.12,le front,the forehead
hôtel,NOM,m,158.92000000000002,le hôtel,the hotel
debout,ADV,,158.85,debout,standing
aider,VER,,158.67,aider,help
retour,NOM,m,158.65,le retour,the return
aujourd'hui,ADV,,158.24,aujourd'hui,Today
genre,NOM,m,157.89999999999998,le genre,the gender
manière,NOM,f,157.76999999999998,la manière,the way
ressembler,VER,,157.53,ressembler,look like
sentiment,NOM,m,157.3,le sentiment,the feeling
cent,ADJ:num,,157.1,cent,cent
bouger,VER,,156.76999999999998,bouger,to move
lentement,ADV,,156.55,lentement,slowly
parvenir,VER,,156.45,parvenir,achieve
six,ADJ:num,,156.22,six,six
pencher,VER,,155.9,pencher,lean
demain,ADV,,155.68,demain,tomorrow
oser,VER,,155.56,oser,to dare
cri,NOM,m,155.39999999999998,le cri,the cry
impression,NOM,f,155.27,la impression,the impression
vingt,ADJ:num,,154.59,vingt,twenty
habitude,NOM,f,154.45999999999998,la habitude,the habit
passage,NOM,m,154.39,le passage,the crossing
doux,ADJ,,154.26,doux,sweet
entier,ADJ,,154.19,entier,whole
préparer,VER,,154.15,préparer,prepare
rose,ADJ,,153.38,rose,rose
parent,NOM,m,153.32,le parent,the parent
cependant,ADV,,153.23999999999998,cependant,However
marche,NOM,f,152.97,la marche,the walk
dame,NOM,f,152.84,la dame,the lady
refuser,VER,,152.76,refuser,refuse
âme,NOM,f,151.62,la âme,the soul
pensée,NOM,f,151.56,la pensée,the thought
léger,ADJ,,151.01000000000002,léger,light (in weight)
sol,NOM,m,150.34,le sol,the ground
payer,VER,,150.24,payer,payer
joie,NOM,f,150.2,la joie,joy
cour,NOM,f,150.14,la cour,the court
bureau,NOM,m,150.07,le bureau,the desk
lendemain,NOM,m,149.26,le lendemain,next day/following day
escalier,NOM,m,148.86,le escalier,the staircase
moyen,NOM,m,148.71,le moyen,the means
acheter,VER,,148.4,acheter,buy
exister,VER,,148.18,exister,exist
robe,NOM,f,148.18,la robe,the dress
dehors,ADV,,147.3,dehors,out
armée,NOM,f,146.55,la armée,the army
poche,NOM,f,146.28,la poche,the pocket
attention,NOM,f,145.87,la attention,the attention
frais,ADJ,,145.28,frais,costs
église,NOM,f,145.07,la église,the church
tes,ADJ:pos,,145.0,tes,hand
conduire,VER,,144.68,conduire,to drive
accepter,VER,,144.67,accepter,accept
maman,NOM,f,144.39,la maman,the mother
vue,NOM,f,144.39,la vue,the view
large,ADJ,,144.12,large,large
village,NOM,m,143.98,le village,the village
école,NOM,f,143.98,la école,the school
retenir,VER,,143.94,retenir,retain
sec,ADJ,,143.72,sec,sec
service,NOM,m,142.77,le service,the service
remarquer,VER,,142.16,remarquer,to remark
ventre,NOM,m,141.96,le ventre,the tummy
goût,NOM,m,141.82999999999998,le goût,the taste
espèce,NOM,f,141.69,la espèce,the species
étranger,NOM,m,141.6,le étranger,the stranger
début,NOM,m,141.48,le début,the beginning
anglais,NOM,m,141.22,le anglais,the english
politique,NOM,f,141.15,la politique,politics
fixer,VER,,140.98,fixer,fixer
couper,VER,,140.91,couper,cut
vérité,NOM,f,140.88,la vérité,the truth
contraire,NOM,m,140.53,le contraire,the opposite
phrase,NOM,f,140.48000000000002,la phrase,the sentence
voyage,NOM,m,140.07,le voyage,the journey
taire,VER,,139.82,taire,minister
plaire,VER,,139.8,plaire,to please
vague,ADJ,,139.53,vague,vague
époque,NOM,f,138.51,la époque,the era
feuille,NOM,f,138.04,la feuille,the leaf
mener,VER,,137.74,mener,means
endroit,NOM,m,137.57,le endroit,the place
embrasser,VER,,137.54,embrasser,to kiss
lequel,PRO:rel,,137.10000000000002,lequel,which
court,ADJ,,136.97,court,court
grâce,PRE,,136.82,grâce,grace
effort,NOM,m,136.63,le effort,the effort
chance,NOM,f,136.35,la chance,luck
tandis que,CON,,136.22,tandis que,while
accord,NOM,m,136.15,le accord,the agreement
saisir,VER,,135.74,saisir,to input
présence,NOM,f,135.54000000000002,la présence,the presence
cuisine,NOM,f,135.4,la cuisine,the kitchen
présenter,VER,,135.17,présenter,to present
espérer,VER,,134.96,espérer,hope
rejoindre,VER,,134.82,rejoindre,join
sauter,VER,,134.6,sauter,jump
simplement,ADV,,134.32,simplement,simply
boîte,NOM,f,134.04999999999998,la boîte,the box
annoncer,VER,,133.96,annoncer,announce
certains,ADJ:ind,,133.92000000000002,certains,some
choisir,VER,,133.88,choisir,choose
